Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text,Document Type,Source,EID
"Takano K., Poel L.V., Raes F.","Pre-sleep arousal can be associated with efficient processing of sleep-related information",2018,"Journal of Behavior Therapy and Experimental Psychiatry","60",,,"13","21",,,10.1016/j.jbtep.2018.02.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042436636&doi=10.1016%2fj.jbtep.2018.02.005&partnerID=40&md5=3bdccee352b58ea572f4a9a8a55eb0f6","Background and objectives: Cognitive bias to sleep-related information is thought to be a core feature of sleep disturbances. The bias may enhance pre-sleep arousal, such as excessive worry about sleeplessness, which prevents people from initiating normal sleep onset. The present study focused on (a) attention bias toward sleep-related stimuli and (b) difficulty in updating working memory for sleep-related stimuli as two possible mechanisms underlying pre-sleep cognitive arousal. Method: Participants (n = 61, a community sample) completed a dot-probe task (with sleep-related and matched control word stimuli) and a 1-back and 2-back task (with sleep-related and non-sleep-related pictorial stimuli). Results: For the dot-probe task, the results showed no significant association between pre-sleep cognitive arousal and sleep-related attention bias. However, the results of the 2-back task suggest that pre-sleep arousal is associated with decreased interference by sleep-related stimuli in maintaining non-sleep-related information. That is, individuals with higher levels of pre-sleep arousal are more efficient at processing sleep-related materials. Limitations: The non-clinical nature of the sample may limit the clinical implications of the findings. Conclusions: Although the current results cannot be explained by the extant cognitive theories of insomnia, we offer an alternative explanation based on the idea of worry as mental habit: mental processes that occur frequently (e.g., repetitive thoughts about sleep) require less cognitive resource. Therefore, sleep-related information may be processed easily without consuming much cognitive effort. © 2018","Arousal; Attention bias; Sleep; Working memory; Worry","adult; arousal; Article; attention test; attentional bias; cognition; controlled study; dot probe task; female; human; human experiment; information processing; male; mental function; n-back test; sleep; task performance; working memory","AFAvH, American Friends of the Alexander von Humboldt Foundation; PF/10/005, KU Leuven","Keisuke Takano was supported by the Alexander von Humboldt Foundation Postdoctoral Research Fellowship. Filip Raes was supported by the KU Leuven Research Council grant PF/10/005. We thank Sarah Van den Brande for her assistance in data collection.",Article,Scopus,2-s2.0-85042436636
"Naim R., Kivity Y., Bar-Haim Y., Huppert J.D.","Attention and interpretation bias modification treatment for social anxiety disorder: A randomized clinical trial of efficacy and synergy",2018,"Journal of Behavior Therapy and Experimental Psychiatry","59",,,"19","30",,,10.1016/j.jbtep.2017.10.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033212442&doi=10.1016%2fj.jbtep.2017.10.006&partnerID=40&md5=9eb1e48adcaccf1fc5eac93026bf2bd5","Background and objectives Attention bias modification treatment (ABMT) and cognitive bias modification of interpretation (CBM-I) both have demonstrated efficacy in alleviating social anxiety, but how they compare with each other, their combination, and with a combined control condition has not been studied. We examined their relative and combined efficacy compared to control conditions in a randomized controlled trial (RCT). Methods Ninety-five adults diagnosed with social anxiety disorder (SAD), were randomly allocated to 4 groups: ABMT + CBM-I control (hereafter ABMT; n = 23), CBM-I + ABMT control (hereafter CBM-I; n = 24), combined ABMT + CBM-I (n = 23), and combined control (n = 25). Treatment included eight sessions over four weeks. Clinician-rated and self-reported measures of social anxiety symptoms, functional impairment, and threat-related attention and interpretive biases were evaluated at baseline, post-treatment, and 3-month follow-up. Results ABMT yielded greater symptom reduction as measured by both clinician-ratings (Cohen's ds = 0.57-0.70) and self-reports (ds = 0.70-0.85) compared with the CBM-I, the combined ABMT + CBM-I, and the combined control conditions. Neither of the other conditions demonstrated superior symptom change compared to the control condition. No group differences were found for functioning or cognitive biases measures. Limitations Limitations mainly include the mix of active and control treatments applied across the different groups. Therefore, the net effect of each of the treatments by itself could not be clearly tested. Conclusions Results suggest superiority of ABMT compared to CBM-I and their combination in terms of symptom reduction. Possible interpretations and methodological issues underlying the observed findings are discussed. © 2017 Elsevier Ltd","Attention bias; Cognitive bias modification; Interpretation bias; Social anxiety; Treatment","adult; Article; attention bias modification treatment; attentional bias; behavior modification; cognitive bias; cognitive bias modification of interpretation; controlled study; female; follow up; functional disease; human; interpretation bias; major clinical study; male; patient-reported outcome; randomized controlled trial; self report; social phobia; threat","2013349, BARD, United States - Israel Binational Agricultural Research and Development Fund; 2013349, BARD, United States - Israel Binational Agricultural Research and Development Fund","This work was partially support by the United States - Israel Binational Science Foundation (BSF) for YBH - 2013349. There are not any commercial or similar relationships of the authors or members of their families to products or companies mentioned in or related to the subject matter of the article being submitted. There are not any corporate appointments of the authors or members of their families relating to or in connection with products or companies mentioned in the article or otherwise bearing on the subject matter of the article being submitted. There are not any other pertinent financial relationships of the authors or members of their families, such as consultancies, stock ownership or other equity interests or patent-licensing arrangements to products mentioned in the article being submitted.",Article,Scopus,2-s2.0-85033212442
"Kim Y.-R., Eom J.-S., Leppanen J., Leslie M., Treasure J.","Effects of intranasal oxytocin on the attentional bias to emotional stimuli in patients with bulimia nervosa",2018,"Psychoneuroendocrinology","91",,,"75","78",,,10.1016/j.psyneuen.2018.02.029,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043354663&doi=10.1016%2fj.psyneuen.2018.02.029&partnerID=40&md5=de8f0af71d4ac6b90c65179bdd17ec1f","Background: Bulimia nervosa (BN) is characterized by binge eating and emotional dysregulation including increased negative affectivity (anger, anxiety). The aim of this study was to examine the effect of oxytocin on attentional processes towards anger in patients with BN. Method: The study design consisted of a double-blind, placebo-controlled within-subject crossover, single dose experiment. Sixty-four women (31 patients with BN and 33 healthy comparisons) completed self-reported measures to evaluate emotional difficulties and were administered a single dose of intranasal oxytocin (40IU) or placebo followed by a visual probe detection task to examine attentional orienting to angry or happy faces. Results: Patients with BN reported higher emotional dysregulation and more difficulties in controlling anger compared to the healthy comparison group. Patients with BN and the healthy women exhibited similar attentional bias to angry faces in the placebo condition. Intranasal oxytocin reduced the attentional bias towards angry faces in both the BN patients and the healthy women. Conclusions: We found that a single dose of oxytocin reduced vigilance towards angry faces in patients with BN as well as healthy women. The results showed that patients with BN are not different from healthy women in terms of vigilance towards threat. © 2018 Elsevier Ltd","Anger; Attentional bias; Bulimia nervosa; Emotional regulation; Oxytocin",,"2016R1D1A1A09917877, MOE, Ministry of Education; NRF, National Research Foundation of Korea","This research was supported by Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education (2016R1D1A1A09917877). They had no role in the design, data collection, analysis, interpretation, or writing of this report. The corresponding author has full access to all of the data in this study and has final responsibility for the decision to submit for publication.",Article,Scopus,2-s2.0-85043354663
"Angelidis A., Hagenaars M., van Son D., van der Does W., Putman P.","Do not look away! Spontaneous frontal EEG theta/beta ratio as a marker for cognitive control over attention to mild and high threat",2018,"Biological Psychology","135",,,"8","17",,,10.1016/j.biopsycho.2018.03.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043380288&doi=10.1016%2fj.biopsycho.2018.03.002&partnerID=40&md5=6eb7509a936455abe9dba46484290353","Background: Low spontaneous EEG theta/beta ratio (TBR) is associated with greater executive control. Their role in regulation of attentional bias for stimuli of different threat-levels is unknown. Objectives: To provide the first relations between frontal TBR, trait anxiety and attentional bias to mildly and highly threatening stimuli at different processing-stages. Methods: Seventy-four healthy volunteers completed spontaneous EEG measurement, a self-report trait anxiety questionnaire and a dot-probe task with stimuli of different threat-level and 200 and 500 ms cue-target delays. Results: Participants with high TBR directed attention towards mildly threatening and avoided highly threatening pictures. Moreover, the most resilient participants, (high TBR and low trait anxiety) showed attention towards highly threatening stimuli. There were no effects of delay. Conclusions: These data confirm that executive control is crucial for the study of threat-related attentional bias and further support the notion that TBR is a marker of cognitive control over emotional information. © 2018 Elsevier B.V.","Anxiety; Attentional bias; Attentional control; EEG; Theta/beta ratio",,,,Article,Scopus,2-s2.0-85043380288
"Forcano L., Mata F., de la Torre R., Verdejo-Garcia A.","Cognitive and neuromodulation strategies for unhealthy eating and obesity: Systematic review and discussion of neurocognitive mechanisms",2018,"Neuroscience and Biobehavioral Reviews","87",,,"161","191",,,10.1016/j.neubiorev.2018.02.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042199961&doi=10.1016%2fj.neubiorev.2018.02.003&partnerID=40&md5=7128d3de5fa9459dc2670f1965eb11c8","We systematically reviewed research on cognitive training and neuromodulation interventions for reducing food craving/intake, unhealthy diet and weight, and discussed their mechanisms of action. We reviewed 50 studies involving six cognitive trainings: Approach and Attentional Bias Modification, Implementation Intentions, Response Inhibition, Episodic Future Thinking and Working Memory; and four neuromodulation approaches: Transcranial Magnetic Stimulation (TMS), transcranial Direct Current Stimulation (tDCS), Deep Brain Stimulation (DBS) and Neurofeedback. Response Inhibition and Implementation Intentions have shown to reduce unhealthy diet and weight in people with overweight/obesity. Attentional Bias Modification has shown promising results in healthy-weight participants. Brain stimulation of the Dorsolateral Prefrontal Cortex via tDCS and the Hypothalamus via DBS showed benefits for reducing food craving and weight in people with overweight/obesity. Studies quality was generally high, but most trials were short-term and many conducted in healthy-weight samples. Modification of cognitive control and motivational processes/circuits are common mechanisms of beneficial training and neuromodulation interventions, and thus a promising approach for overweight/obesity treatment. Longer duration trials in clinical populations are needed to confirm benefits. © 2018 Elsevier Ltd","Cognitive training; Eating behaviour; Neurofeedback; Neuromodulation; Obesity; Unhealthy eating habits","adult; attentional bias; body weight loss; brain depth stimulation; cognition; cognitive behavioral therapy; cognitive training; craving; dorsolateral prefrontal cortex; episodic future thinking; female; food intake; human; hypothalamus; inhibition (psychology); major clinical study; male; neurofeedback; neuromodulation; obesity; priority journal; Review; systematic review; transcranial direct current stimulation; transcranial magnetic stimulation; unhealthy diet; working memory","CD13/00218, ISCIII, Instituto de Salud Carlos III; GNT1140197, ARC, Australian Research Council; NHMRC, National Health and Medical Research Council; MRF1141214, ASMR, Australian Society for Medical Research; ISCIII, Instituto de Salud Carlos III","This work has been funded by a Linkage Project grant LP150100770 from the Australian Research Council and a Project grant GNT1140197 from the Australian National Health and Medical Research Council . This work was also partially supported by a Grant from CIBERobn (Fisiopatología de la Obesidad y la Nutrición) , an initiative of the “Instituto de Salud Carlos III” (ISCIII) (Spain). LFG is a recipient of a Sara Borrell postdoctoral fellowship ( CD13/00218 ) from the ISCIII . AVG is supported by a Career Development Fellowship from the Australian Medical Research Future Fund (MRF1141214). The financial supporters played no role in the design or writing of this review. Appendix A",Review,Scopus,2-s2.0-85042199961
"Akram U., Beattie L., Ypsilanti A., Reidy J., Robson A., Chapman A.J., Barclay N.L.","Sleep-related attentional bias for tired faces in insomnia: Evidence from a dot-probe paradigm",2018,"Behaviour Research and Therapy","103",,,"18","23",,,10.1016/j.brat.2018.01.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041685366&doi=10.1016%2fj.brat.2018.01.007&partnerID=40&md5=0c77a24c3317b3a031dd81bd3845a26f","People with insomnia often display an attentional bias for sleep-specific stimuli. However, prior studies have mostly utilized sleep-related words and images, and research is yet to examine whether people with insomnia display an attentional bias for sleep-specific (i.e. tired appearing) facial stimuli. This study aimed to examine whether individuals with insomnia present an attentional bias for sleep-specific faces depicting tiredness compared to normal-sleepers. Additionally, we aimed to determine whether the presence of an attentional bias was characterized by vigilance or disengagement. Forty-one individuals who meet the DSM-5 criteria for Insomnia Disorder and 41 normal-sleepers completed a dot-probe task comprising of neutral and sleep-specific tired faces. The results demonstrated that vigilance and disengagement scores differed significantly between the insomnia and normal-sleeper groups. Specifically, individuals with insomnia displayed difficulty in both orienting to and disengaging attention from tired faces compared to normal-sleepers. Using tired facial stimuli, the current study provides novel evidence that insomnia is characterized by a sleep-related attentional bias. These outcomes support cognitive models of insomnia by suggesting that individuals with insomnia monitor tiredness in their social environment. © 2018 Elsevier Ltd","Attention; Cognitive bias; Disengagement; Faces; Insomnia; Tiredness; Vigilance",,"Department of Psychology, University of Wisconsin-Madison","This research was supported by the Department of Psychology, Sociology and Politics at Sheffield Hallam University .",Article,Scopus,2-s2.0-85041685366
"Gronchi G., Righi S., Pierguidi L., Giovannelli F., Murasecco I., Viggiano M.P.","Automatic and controlled attentional orienting in the elderly: A dual-process view of the positivity effect",2018,"Acta Psychologica","185",,,"229","234",,,10.1016/j.actpsy.2018.02.008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043536564&doi=10.1016%2fj.actpsy.2018.02.008&partnerID=40&md5=9d7459c4305ca216477a8adfff9b4633","The positivity effect in the elderly consists of an attentional preference for positive information as well as avoidance of negative information. Extant theories predict either that the positivity effect depends on controlled attentional processes (socio-emotional selectivity theory), or on an automatic gating selection mechanism (dynamic integration theory). This study examined the role of automatic and controlled attention in the positivity effect. Two dot-probe tasks (with the duration of the stimuli lasting 100 ms and 500 ms, respectively) were employed to compare the attentional bias of 35 elderly people to that of 35 young adults. The stimuli used were expressive faces displaying neutral, disgusted, fearful, and happy expressions. In comparison to young people, the elderly allocated more attention to happy faces at 100 ms and they tended to avoid fearful faces at 500 ms. The findings are not predicted by either theory taken alone, but support the hypothesis that the positivity effect in the elderly is driven by two different processes: an automatic attention bias toward positive stimuli, and a controlled mechanism that diverts attention away from negative stimuli. © 2018 Elsevier B.V.","Automatic attentional processes; Controlled attentional processes; Dot-probe task; Positivity effect",,,,Article,Scopus,2-s2.0-85043536564
"Kimonis E.R., Graham N., Cauffman E.","Aggressive Male Juvenile Offenders with Callous-Unemotional Traits Show Aberrant Attentional Orienting to Distress Cues",2018,"Journal of Abnormal Child Psychology","46","3",,"519","527",,,10.1007/s10802-017-0295-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016987012&doi=10.1007%2fs10802-017-0295-4&partnerID=40&md5=0a710dd4464897c07ea841f1a58aed0a","Antisocial youth with callous-unemotional (CU) traits exhibit a pattern of severe and persistent conduct problems and deficits in emotional processing that parallels adults with psychopathy. Aberrant emotional attention, particularly among individuals high on aggression, constitutes one such deficit; however, its robustness across race/ethnicity requires further investigation given findings that the psychopathy construct manifests differently across race (Sullivan and Kosson 2006), and emotional attention is susceptible to the influence of adverse environmental factors such as violence exposure that is more common among ethnic minority youth (Kimonis et al. in Development and Psychopathology, 20, 569–589, 2008b). Also, the development of a comprehensive measure of CU traits, the Inventory of Callous-Unemotional Traits (ICU), has identified specific CU dimensions (Uncaring, Callous, Unemotional) that are yet to be investigated in relation to emotional attention deficits. Thus, the purpose of the present study was to examine whether aggressive boys high on total CU traits and specific ICU dimensions show deficits in attentional orienting to negative stimuli on a dot-probe task that are consistent across race/ethnicity. Results from a predominately Latino sample of incarcerated male adolescents (N = 156) showed that aggression moderated the association between CU traits and facilitation to distress stimuli. That is, aggressive boys high on CU traits or the Uncaring dimension showed deficient attentional orienting; a finding that was consistent across racial/ethnic minority groups. Results are consistent with prior research suggesting that the combination of high CU traits and aggression defines a unique subgroup of antisocial individuals that more closely fits with the construct of psychopathy than the presence of CU traits alone. © 2017, Springer Science+Business Media New York.","Callous-unemotional traits; Dot probe task; Emotional attention; Emotional processing; Juvenile psychopathy; Latino",,,,Article,Scopus,2-s2.0-85016987012
"Pollert G.A., Veilleux J.C.","Attentional bias is more predictive of eating behavior after self-control exertion",2018,"Eating Behaviors","29",,,"25","27",,,10.1016/j.eatbeh.2018.02.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041546439&doi=10.1016%2fj.eatbeh.2018.02.001&partnerID=40&md5=15417aa33edad286144a9cf3e5e11c36","There is experimental evidence to suggest that attentional bias to food stimuli may predict food intake. The process model of ego-depletion (Inzlicht & Schmeichel, 2012) proposes that after self-control exertion, attention shifts toward rewarding objects such as palatable food, which in turn should prompt greater food consumption as an indicator of lower self-control. In the current study, 84 female restrained and unrestrained eaters engaged in a self-control or neutral task, followed by a measure of attentional bias and an eating task. Results indicated there were no differences in attentional bias or amount eaten between self-control conditions and dietary restraint groups. However, a moderated regression showed that attentional bias toward food or self-control images predicted eating behavior only in participants who previously exerted self-control, while no effect was found for participants in the neutral condition. These results suggest that attentional bias may predict food intake, but only for individuals who have previously exerted self-control. © 2018 Elsevier Ltd","Attention; Dot-probe; Eating; Ego-depletion; Self-control",,,,Article,Scopus,2-s2.0-85041546439
"Verbeken S., Braet C., Naets T., Houben K., Boendermaker W., Zeepreventorium vzw","Computer training of attention and inhibition for youngsters with obesity: A pilot study",2018,"Appetite","123",,,"439","447",,,10.1016/j.appet.2017.12.029,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041627941&doi=10.1016%2fj.appet.2017.12.029&partnerID=40&md5=05972de856e370db32b031ccbd69492d","Obesity is a widespread problem that starts from an early age. Previous studies suggest that obese youngsters have an attentional bias and an automatic approach tendency towards high-calorie food and display difficulties inhibiting impulses, which may result in a higher intake of (high-calorie) food. An interesting idea for improvement of the current obesity treatment is adding a program that enables to train their difficulties. Subjects were 36 youngsters aged 9–15 years old from an inpatient treatment program for obesity, randomized over a training group and an active control group. The training consisted of six training sessions with cognitive tasks aimed at enhancing inhibition towards unhealthy food items (with a go/no-go task), as well as decreasing a food approach bias (using an approach/avoidance task) and a food attentional bias (using a dot-probe task). The current study evaluated the feasibility, acceptability and initial effectiveness of the training and explores if these characteristics helps obese youngsters to maintain weight-loss once they return home at the end of their inpatient treatment program. Results on the cognitive performances were investigated during two measurement sessions, spread over 5 weeks while weight evolution was followed over 13 weeks. Results showed that the training program was feasible and acceptable to the majority of participants and clinicians. Furthermore, the preliminary findings suggest that the training tasks used were ineffective in this group of obese children. Lessons learned and suggestions for future research are discussed. © 2018 Elsevier Ltd","Approach/avoidance; Attention; Childhood obesity; Executive functioning; Inhibition","adolescent; Article; attention; attentional bias; body weight loss; child; childhood obesity; clinical article; clinical effectiveness; cognition; controlled study; evaluation study; feasibility study; female; follow up; functional training; human; inhibition (psychology); male; pilot study; randomized controlled trial; sex ratio",,,Article,Scopus,2-s2.0-85041627941
